"4";"1000-000004";"Batterie de tests à l'usage des enseignants pour le diagnostic de la forme d'intelligence dite divergente";"";"Massarenti Léonard";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10104";"Educational science and Pedagogy";"Humanities and Social Sciences;Psychology, educational studies";"10104";"01.10.1975";"30.09.1976";"41022.00";""
"14";"1000-000014";"Wissensstruktur, Fragegenese und Wissenserweiterung";"";"Flammer August";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Fribourg - FR";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1975";"31.12.1978";"153886.00";""
"23";"1000-000023";"Psycholinguistique génétique: l'évolution des stratégies d'organisation des relations par rapport au contexte";"";"Sinclair Hermina";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1975";"30.09.1977";"149485.00";""
"28";"1000-000028";"Evaluation de quelques objectifs d'une école expérimentale";"";"Huberman Michael";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10104";"Educational science and Pedagogy";"Humanities and Social Sciences;Psychology, educational studies";"10104";"01.10.1975";"30.09.1978";"164602.00";""
"50";"1000-000050";"Limites de la composition des constances visuelles";"";"Vonèche Jacques";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1975";"28.02.1981";"143070.00";""
"55";"1000-000055";"Determinanten für den erfolgreichen Abschluss einer höheren Mittelschule";"";"Hürsch Luzius";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10104";"Educational science and Pedagogy";"Humanities and Social Sciences;Psychology, educational studies";"10104";"01.10.1975";"31.03.1977";"154420.00";""
"118";"1000-000118";"Explorationsstudie zur handlungstheoretischen Analyse menschlicher Tätigkeiten";"";"Stoll François";"Project funding (Div. I-III)";"Project funding";"Fachrichtung Angewandte Psychologie Psychologisches Institut Universität Zürich";"Switzerland";"University of Zurich - ZH";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.06.1976";"31.05.1977";"38652.00";""
"144";"1000-000144";"Funktionale Analyse des Kurzzeitgedächtnisses";"";"Foppa Nikolaus";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1976";"30.09.1978";"204927.00";""
"176";"1000-000176";"Interaction sociale et développement cognitif";"";"Doise Willem";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1976";"30.09.1978";"190106.00";""
"189";"1000-000189";"Analyse strategischer Interaktionen";"";"von Cranach Mario";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.01.1977";"31.12.1979";"228558.00";""
"190";"1000-000190";"Enseignement des sciences expérimentales à l'école primaire: perspectives piagétiennes";"";"Henriques Androula";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1976";"30.09.1979";"57863.00";""
"194";"1000-000194";"Die Regulation der Reizaufnahme beim Säugling";"";"Lang Alfred";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.01.1977";"31.12.1980";"186135.00";""
"202";"1000-000202";"Les régulations du geste";"";"Mounoud Pierre";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1976";"30.09.1978";"102583.00";""
"226";"1000-000226";"Oculomotricité et posture chez le nourrisson";"";"Bullinger André";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1976";"30.09.1979";"290655.00";""
"300";"1000-000300";"Untersuchung des kommunikativen Verhaltens vermittels Zeitreihenanalyse visuell-auditiver Information.";"";"Frey Siegfried";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.04.1977";"31.03.1980";"155972.00";""
"359";"1000-000359";"L'évolution des stratégies de production d'énoncés par les enfants âgés de 4 à 10 ans";"";"Sinclair Hermina";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1977";"30.09.1979";"162012.00";""
"376";"1000-000376";"Elementare Informationsverarbeitungsprozesse beim Lesenlernen";"";"Groner Rudolf";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1977";"30.09.1980";"122682.00";""
"378";"1000-000378";"Psychopédagogie des catégories et fonctions grammaticales à l'école primaire";"";"Bronckart Jean-Paul";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1977";"30.09.1980";"272361.00";""
"470";"1000-000470";"Untersuchung über die formale Beschaffenheit von Wahrnehmungsstrukturen";"";"Gyr John W.";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1978";"31.03.1980";"111013.00";""
"513";"1000-000513";"Processus d'influence et d'émergence minoritaires";"";"Mugny Gabriel";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1978";"30.09.1980";"94347.00";""
"546";"1000-000546";"Kognitive Determinanten der Frageentstehung";"";"Flammer August";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Fribourg - FR";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1978";"30.09.1982";"167987.00";""
"559";"1000-000559";"La programmation motrice chez le jeune enfant";"";"Mounoud Pierre";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1978";"30.09.1980";"61464.00";""
"567";"1000-000567";"Funktionale Analyse des Kurzzeitgedächtnisses";"";"Foppa Nikolaus";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.11.1978";"31.10.1980";"58699.00";""
"569";"1112-000569";"Analyse des processus opératoires de la dialectique, de la réciprocité et du problème des décalages";"";"Cellérier Guy";"Project funding (special)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1978";"30.09.1981";"396000.00";""
"617";"1000-000617";"Coordination Européenne des Etudes Psycholinguistiques sur l'Acquisition du langage par des enfants monolingues et bilingues";"";"Karmiloff-Smith Annette";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10201";"Sociology";"Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health";"10201";"01.01.1979";"31.03.1980";"5000.00";""
"618";"1112-000618";"Recherches expérimentales sur les comportements d'appropriat de suppléances sensori-motrices";"";"Bullinger André";"Project funding (special)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1979";"30.09.1982";"252998.00";""
"625";"1000-000625";"Approche piagétienne et étude différentielle de patterns de fonctionnement cognitif chez l'enfant de 6-12 ans";"";"Rieben Laurence";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.05.1979";"30.04.1982";"280939.00";""
"637";"1000-000637";"Kognitive Prozesse in propositionalen Gedächtnismodellen (Räumliche-visuelle Repräsentationen beim Verstehen von Texten)";"";"Steiner Gerhard";"Project funding (Div. I-III)";"Project funding";"Fakultät für Psychologie Universität Basel";"Switzerland";"University of Basel - BS";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1979";"30.09.1982";"84828.00";""
"697";"1000-000697";"Interaktionelle Verhaltenstherapie";"";"Grawe Klaus";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1980";"30.09.1984";"359700.00";""
"709";"1000-000709";"Etudes inter-culturelles du développement opératoire";"";"Dasen Pierre";"Project funding (Div. I-III)";"Project funding";"Faculté de Psychologie et des Sciences de l'Education Université de Genève";"Switzerland";"University of Geneva - GE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.04.1980";"30.09.1982";"142369.00";""
"718";"1000-000718";"Untersuchungen über die formale Beschaffenheit von Wahrnehmungsstrukturen (Investigations into the formal nature of perceptual structures)";"";"Foppa Nikolaus";"Project funding (Div. I-III)";"Project funding";"Klinische Psychologie und Psychotherapie Institut für Psychologie Universität Bern";"Switzerland";"University of Berne - BE";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.04.1980";"30.09.1981";"110515.00";""
